,,,,,,,,Total,Total,Total,Total,Total,Cortos,Cortos,Cortos,Medios,Medios,Medios,Largos,Largos,Largos,,,,,,,,,,,-additional
111,Matheus Cunha,br BRA,DL,Wolves,23-348,1999,10.0,160,217,73.7,1968,321,98,121,81.0,35,49,71.4,8,16,50.0,0,0.5,0.2,-0.5,6,5,2,0,13,Partidos,dc62b55d
112,Patson Daka,zm ZAM,DL,Leicester City,24-213,1998,12.5,179,269,66.5,2366,422,108,143,75.5,52,77,67.5,6,10,60.0,4,2.8,1.7,+1.2,17,7,8,1,17,Partidos,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-053,1999,22.9,1105,1397,79.1,20225,6207,448,503,89.1,530,624,84.9,111,202,55.0,2,1.9,1.5,+0.1,29,80,28,13,92,Partidos,d9565625
114,Mikkel Damsgaard,dk DEN,CCDL,Brentford,22-311,2000,8.9,223,330,67.6,3186,1101,127,154,82.5,72,106,67.9,13,36,36.1,0,1.0,1.0,-1.0,10,31,8,1,33,Partidos,215f3907
115,Danilo,br BRA,CC,Nott'ham Forest,22-011,2001,9.1,144,217,66.4,2456,943,75,90,83.3,52,70,74.3,15,32,46.9,2,0.6,0.6,+1.4,7,22,7,0,33,Partidos,a816dbfb
116,Arnaut Danjuma,nl NED,DLCC,Tottenham,26-099,1997,1.0,15,28,53.6,217,40,10,15,66.7,3,5,60.0,2,2,100.0,0,0.0,0.0,0.0,1,0,2,2,0,Partidos,f08490a6
117,Josh Dasilva,eng ENG,CC,Brentford,24-199,1998,15.0,473,593,79.8,7794,1833,243,277,87.7,184,212,86.8,37,66,56.1,2,1.5,1.5,+0.5,12,33,23,5,60,Partidos,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-016,1993,22.5,944,1159,81.4,15732,5335,453,507,89.3,399,463,86.2,66,123,53.7,2,2.3,1.3,-0.3,18,72,6,3,101,Partidos,44781702
119,Tom Davies,eng ENG,CC,Everton,24-314,1998,6.0,173,234,73.9,2879,850,87,111,78.4,64,76,84.2,16,29,55.2,0,0.2,0.3,-0.2,2,25,2,0,30,Partidos,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,33-004,1990,8.0,245,310,79.0,5404,2170,74,86,86.0,121,137,88.3,48,79,60.8,0,0.1,0.1,-0.1,1,25,0,0,18,Partidos,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,33-004,1990,13.7,677,805,84.1,14046,4717,196,218,89.9,373,404,92.3,101,163,62.0,0,0.0,0.1,0.0,1,46,1,0,38,Partidos,3e9e06cb
122,Kevin De Bruyne,be BEL,CC,Manchester City,31-316,1991,26.1,1157,1586,73.0,21562,6378,522,617,84.6,463,613,75.5,156,271,57.6,16,13.7,13.9,+2.3,95,124,93,19,241,Partidos,e46012d4
123,Siriki Dembélé,ci CIV,DLCC,Bournemouth,26-245,1996,1.2,37,47,78.7,543,223,22,29,75.9,10,13,76.9,2,2,100.0,0,0.3,0.2,-0.3,4,2,3,2,4,Partidos,11f54bd5
124,Leander Dendoncker,be BEL,CC,Aston Villa,28-025,1995,7.7,247,281,87.9,3932,804,119,128,93.0,110,120,91.7,11,16,68.8,0,0.5,0.1,-0.5,5,16,0,0,17,Partidos,5a7301ae
125,Leander Dendoncker,be BEL,CC,Wolves,28-025,1995,2.4,86,99,86.9,1466,282,45,50,90.0,32,32,100.0,8,8,100.0,0,0.0,0.0,0.0,2,4,1,1,6,Partidos,5a7301ae
126,Emmanuel Dennis,ng NGA,DLCC,Nott'ham Forest,25-176,1997,7.8,120,177,67.8,1798,372,71,90,78.9,37,55,67.3,8,11,72.7,2,0.6,0.4,+1.4,7,7,4,2,16,Partidos,2c44a35d
127,Halil Dervişoğlu,tr TUR,CC,Brentford,23-153,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,9d8cf204
128,Kiernan Dewsbury-Hall,eng ENG,CC,Leicester City,24-246,1998,24.8,838,1114,75.2,14005,3668,426,501,85.0,303,380,79.7,81,157,51.6,2,3.1,2.5,-1.1,38,110,22,4,129,Partidos,5c74c0f5
129,Ibrahima Diallo,fr FRA,CC,Southampton,24-063,1999,9.1,317,402,78.9,4768,1064,181,206,87.9,112,139,80.6,16,34,47.1,0,0.1,0.1,-0.1,4,24,2,0,28,Partidos,11ff3d56
130,Rúben Dias,pt POR,DF,Manchester City,25-361,1997,21.2,1836,1983,92.6,33816,12026,667,697,95.7,1017,1064,95.6,137,194,70.6,0,0.6,0.3,-0.6,3,130,0,0,95,Partidos,31c69ef1
131,Luis Díaz,co COL,DL,Liverpool,26-117,1997,9.1,299,366,81.7,4517,899,171,204,83.8,104,122,85.2,17,19,89.5,2,1.3,1.1,+0.7,10,21,8,1,39,Partidos,4a1a9578
132,Eric Dier,eng ENG,DF,Tottenham,29-115,1994,31.3,1708,2001,85.4,32594,12717,636,688,92.4,866,934,92.7,179,317,56.5,1,1.2,0.6,-0.2,7,76,8,3,87,Partidos,ac861941
133,Lucas Digne,fr FRA,DF,Aston Villa,29-294,1993,15.1,655,864,75.8,10316,3909,368,410,89.8,231,312,74.0,45,94,47.9,0,1.8,1.7,-1.8,17,35,22,14,52,Partidos,1b84dbe1
134,Issa Diop,fr FRA,DF,Fulham,26-121,1997,19.4,1047,1218,86.0,20946,6782,317,354,89.5,622,671,92.7,105,179,58.7,0,0.0,0.2,0.0,1,65,3,0,63,Partidos,a712ca2b
135,Moussa Djenepo,ml MLI,DFDL,Southampton,24-329,1998,7.7,169,232,72.8,2470,736,99,113,87.6,56,79,70.9,8,20,40.0,2,0.5,0.4,+1.5,8,13,5,3,18,Partidos,254147d4
136,Ben Doak,sct SCO,DL,Liverpool,17-180,2005,0.3,10,14,71.4,86,17,9,10,90.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Partidos,733f1a7d
137,Matt Doherty,ie IRL,DFCC,Tottenham,31-114,1992,7.4,329,408,80.6,4896,1222,190,204,93.1,107,137,78.1,18,35,51.4,0,0.3,0.3,-0.3,6,14,5,3,20,Partidos,d557d734
138,Gabriel Dos Santos,br BRA,DF,Arsenal,25-142,1997,34.9,1984,2218,89.4,35345,12712,803,851,94.4,1021,1083,94.3,138,228,60.5,0,0.2,0.6,-0.2,4,156,3,0,145,Partidos,67ac5bb8
139,Abdoulaye Doucouré,ml MLI,CC,Everton,30-129,1993,14.0,376,474,79.3,4947,1164,226,272,83.1,126,149,84.6,5,10,50.0,2,2.0,0.9,0.0,19,26,10,0,35,Partidos,02b29014
140,Cheick Doucouré,ml MLI,CC,Crystal Palace,23-122,2000,28.1,932,1128,82.6,15595,4937,441,494,89.3,401,467,85.9,70,97,72.2,3,1.9,1.1,+1.1,25,99,10,1,128,Partidos,ce4f40c7
141,Flynn Downes,eng ENG,CC,West Ham,24-110,1999,6.5,180,216,83.3,2407,517,120,129,93.0,45,55,81.8,7,11,63.6,0,0.0,0.1,0.0,1,12,1,0,15,Partidos,69fdb896
142,Cody Drameh,eng ENG,DF,Leeds United,21-153,2001,0.8,30,38,78.9,457,153,17,21,81.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Partidos,e0d1510a
143,Martin Dúbravka,sk SVK,PO,Newcastle Utd,34-115,1989,0.7,19,22,86.4,418,293,9,9,100.0,4,4,100.0,5,8,62.5,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,3a949a25
144,Shane Duffy,ie IRL,DFDL,Fulham,31-129,1992,0.2,16,20,80.0,308,61,5,5,100.0,9,10,90.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos,7314bba4
145,Lewis Dunk,eng ENG,DF,Brighton,31-170,1991,33.0,2658,2944,90.3,50424,18723,956,1011,94.6,1395,1465,95.2,267,404,66.1,0,1.0,0.9,-1.0,9,168,9,1,150,Partidos,282f75f3
146,Jhon Durán,co COL,DLCC,Aston Villa,19-148,2003,1.2,14,24,58.3,243,40,6,8,75.0,7,11,63.6,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,4,Partidos,414184f7
147,Malcolm Ebiowei,eng ENG,CCDL,Crystal Palace,19-248,2003,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Partidos,fa9fa773
148,Ederson,br BRA,PO,Manchester City,29-266,1993,33.0,1009,1174,85.9,24562,16074,221,223,99.1,529,536,98.7,258,411,62.8,1,0.2,0.2,+0.8,1,13,0,0,0,Partidos,3bb7b8b4
149,Odsonne Édouard,fr FRA,DL,Crystal Palace,25-114,1998,18.0,270,376,71.8,3054,493,192,239,80.3,51,81,63.0,5,10,50.0,2,1.1,0.7,+0.9,15,9,9,0,32,Partidos,0562b7f1
150,Samuel Edozie,eng ENG,DLCC,Southampton,20-102,2003,6.3,111,164,67.7,1348,354,75,93,80.6,22,34,64.7,5,10,50.0,0,0.4,0.4,-0.4,8,6,6,1,13,Partidos,007414dd
151,Anthony Elanga,se SWE,DL,Manchester Utd,21-013,2002,4.7,95,130,73.1,1201,298,65,86,75.6,23,32,71.9,3,3,100.0,1,0.9,1.0,+0.1,6,3,3,0,8,Partidos,2fba6108
152,Harvey Elliott,eng ENG,CCDL,Liverpool,20-036,2003,17.4,776,968,80.2,11685,2997,432,482,89.6,277,342,81.0,41,79,51.9,2,3.3,4.3,-1.3,23,65,38,6,127,Partidos,c8387671
153,Mohamed Elneny,eg EGY,CC,Arsenal,30-303,1992,1.3,57,60,95.0,1031,224,23,23,100.0,27,29,93.1,6,6,100.0,0,0.0,0.0,0.0,0,3,2,0,2,Partidos,47a34c4f
154,Mohamed Elyounoussi,no NOR,CCDL,Southampton,28-279,1994,22.4,401,597,67.2,5619,1562,256,327,78.3,103,158,65.2,26,52,50.0,1,2.1,1.6,-1.1,18,29,18,6,47,Partidos,68dc0dac
155,Emerson,br BRA,DF,Tottenham,24-116,1999,16.5,714,890,80.2,11348,3236,366,409,89.5,278,323,86.1,46,81,56.8,1,0.6,1.0,+0.4,9,46,16,3,71,Partidos,df8b52a5
156,Christian Eriksen,dk DEN,CC,Manchester Utd,31-085,1992,19.9,1054,1308,80.6,17481,5331,543,606,89.6,384,452,85.0,94,180,52.2,7,3.8,2.9,+3.2,31,130,23,4,143,Partidos,980522ec
157,Pervis Estupiñán,ec ECU,DF,Brighton,25-109,1998,25.2,1386,1682,82.4,19906,6133,823,906,90.8,469,566,82.9,52,95,54.7,4,4.1,2.9,-0.1,43,88,35,14,138,Partidos,d38fdf53
158,Jonny Evans,nir NIR,DF,Leicester City,35-127,1988,9.0,603,675,89.3,12088,4606,172,186,92.5,361,381,94.8,64,91,70.3,0,0.0,0.1,0.0,1,40,1,0,31,Partidos,f8fcd2a5
159,Eberechi Eze,eng ENG,CCDL,Crystal Palace,24-315,1998,26.3,822,1049,78.4,12481,3512,477,544,87.7,252,308,81.8,62,135,45.9,3,3.9,2.8,-0.9,52,76,30,2,111,Partidos,ae4fc6a4
160,Łukasz Fabiański,pl POL,PO,West Ham,38-022,1985,31.6,537,845,63.6,17260,13770,103,103,100.0,197,200,98.5,235,537,43.8,0,0.0,0.0,0.0,0,12,0,0,0,Partidos,9328b835
161,Fabinho,br BRA,CC,Liverpool,29-199,1993,27.2,1471,1666,88.3,23748,5547,746,804,92.8,563,609,92.4,116,167,69.5,1,1.9,1.7,-0.9,15,116,13,0,141,Partidos,7f3b388c
162,Wout Faes,be BEL,DF,Leicester City,25-037,1998,28.0,1486,1739,85.5,27528,9654,546,604,90.4,818,895,91.4,110,207,53.1,2,0.6,0.6,+1.4,9,69,5,0,72,Partidos,9c221d14
163,Felipe,br BRA,DF,Nott'ham Forest,33-359,1989,13.9,389,538,72.3,7565,3080,146,175,83.4,192,233,82.4,45,104,43.3,1,0.5,0.8,+0.5,5,14,2,0,20,Partidos,51a3c4c8
164,João Félix,pt POR,DLCC,Chelsea,23-181,1999,9.0,236,309,76.4,3531,1002,147,168,87.5,63,87,72.4,19,35,54.3,0,0.5,0.9,-0.5,7,27,14,1,41,Partidos,8aafd64f
165,Evan Ferguson,ie IRL,DL,Brighton,18-203,2004,7.2,138,172,80.2,1789,245,97,115,84.3,34,41,82.9,4,6,66.7,2,0.5,0.5,+1.5,8,2,5,0,8,Partidos,4596da74
166,Bruno Fernandes,pt POR,CCDL,Manchester Utd,28-244,1994,33.0,1344,1819,73.9,22966,8009,688,808,85.1,445,565,78.8,166,301,55.1,7,14.6,9.5,-7.6,103,131,74,9,231,Partidos,507c7bdf
167,Enzo Fernández,ar ARG,CC,Chelsea,22-113,2001,13.2,955,1083,88.2,18259,5303,387,421,91.9,404,449,90.0,144,176,81.8,2,1.5,1.5,+0.5,13,122,15,0,119,Partidos,5ff4ab71
168,Roberto Firmino,br BRA,DLCC,Liverpool,31-220,1991,12.6,426,540,78.9,5731,1847,263,307,85.7,119,148,80.4,18,26,69.2,4,2.3,1.9,+1.7,20,45,18,1,76,Partidos,4c370d81
169,Junior Firpo,es ESP,DF,Leeds United,26-261,1996,13.9,424,572,74.1,6665,3017,216,260,83.1,185,232,79.7,18,49,36.7,1,0.8,0.7,+0.2,8,35,7,3,48,Partidos,24f59bb2
170,Phil Foden,eng ENG,DL,Manchester City,22-347,2000,16.9,730,915,79.8,11177,1946,418,463,90.3,236,283,83.4,46,93,49.5,6,3.4,3.5,+2.6,35,29,29,9,67,Partidos,ed1e53f3
171,Datro Fofana,ci CIV,DL,Chelsea,20-139,2002,0.7,4,6,66.7,53,28,2,3,66.7,2,2,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,1,Partidos,e82900ef
172,Wesley Fofana,fr FRA,DF,Leicester City,22-144,2000,2.0,117,140,83.6,1995,559,44,44,100.0,64,74,86.5,6,13,46.2,0,0.0,0.0,0.0,0,16,0,0,6,Partidos,132a82f1
173,Wesley Fofana,fr FRA,DF,Chelsea,22-144,2000,10.6,615,691,89.0,10061,2470,285,303,94.1,303,330,91.8,18,39,46.2,0,0.0,0.3,0.0,1,44,2,0,36,Partidos,132a82f1
174,Pablo Fornals,es ESP,DLCC,West Ham,27-077,1996,14.1,456,640,71.3,7654,2221,223,258,86.4,163,219,74.4,51,108,47.2,1,1.5,1.8,-0.5,14,48,8,4,64,Partidos,82927de4
175,Adam Forshaw,eng ENG,CC,Leeds United,31-214,1991,3.1,90,111,81.1,1415,493,49,52,94.2,21,24,87.5,13,23,56.5,0,0.5,0.3,-0.5,2,12,1,0,14,Partidos,9f1938ab
176,Fraser Forster,eng ENG,PO,Tottenham,35-054,1988,10.5,209,272,76.8,4833,3034,66,66,100.0,97,97,100.0,45,106,42.5,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,c3e39f12
177,Tyrese Francois,au AUS,DL,Fulham,22-298,2000,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Partidos,6722d4f0
178,Ryan Fraser,sct SCO,DL,Newcastle Utd,29-075,1994,3.5,85,122,69.7,1228,289,50,59,84.7,28,41,68.3,3,8,37.5,0,0.4,0.3,-0.4,5,4,4,1,9,Partidos,d56543a0
179,Fred,br BRA,CC,Manchester Utd,30-066,1993,12.8,553,705,78.4,8483,2418,304,352,86.4,179,215,83.3,43,70,61.4,1,2.1,1.3,-1.1,23,54,10,2,67,Partidos,b853e0ad
180,Ryan Fredericks,eng ENG,DF,Bournemouth,30-212,1992,5.9,149,220,67.7,2139,735,85,96,88.5,55,88,62.5,4,15,26.7,0,0.1,0.3,-0.1,1,5,6,1,15,Partidos,c067631c
181,Remo Freuler,ch SUI,CC,Nott'ham Forest,31-025,1992,24.0,664,836,79.4,9828,3216,371,429,86.5,238,285,83.5,30,66,45.5,0,0.8,0.7,-0.8,12,47,6,3,54,Partidos,98d2c2c4
182,Cody Gakpo,nl NED,DL,Liverpool,24-003,1999,13.8,247,332,74.4,3236,887,144,182,79.1,75,98,76.5,7,15,46.7,2,1.7,1.3,+0.3,17,25,10,1,38,Partidos,1971591f
183,Conor Gallagher,eng ENG,CCDL,Chelsea,23-093,2000,14.6,577,722,79.9,8723,2101,323,365,88.5,203,243,83.5,28,53,52.8,1,2.3,1.6,-1.3,21,58,16,5,88,Partidos,c2731c10
184,Idrissa Gana Gueye,sn SEN,CC,Everton,33-226,1989,26.1,956,1138,84.0,15191,3966,487,538,90.5,393,443,88.7,53,97,54.6,1,1.1,0.8,-0.1,11,100,5,0,87,Partidos,72c812f3
185,Alejandro Garnacho,es ESP,DLCC,Manchester Utd,18-313,2004,5.0,115,143,80.4,1327,143,87,102,85.3,20,21,95.2,2,2,100.0,2,1.0,0.9,+1.0,2,1,1,0,5,Partidos,7aa8adfe
186,James Garner,eng ENG,CC,Everton,22-058,2001,6.1,172,235,73.2,2621,801,92,107,86.0,67,80,83.8,7,32,21.9,1,0.2,0.3,+0.8,4,13,4,2,23,Partidos,4e015693
187,David de Gea,es ESP,PO,Manchester Utd,32-184,1990,34.0,788,1105,71.3,20626,14753,181,181,100.0,363,370,98.1,239,543,44.0,0,0.1,0.2,-0.1,1,6,1,0,0,Partidos,7ba6d84e
188,Joe Gelhardt,eng ENG,DL,Leeds United,21-006,2002,2.4,43,67,64.2,518,118,23,30,76.7,11,17,64.7,2,2,100.0,2,0.5,0.4,+1.5,2,3,1,0,6,Partidos,01962d0d
189,Saman Ghoddos,ir IRN,CCDF,Brentford,29-246,1993,1.5,54,73,74.0,886,265,29,32,90.6,19,23,82.6,6,17,35.3,0,0.4,0.3,-0.4,3,3,1,0,6,Partidos,f7b1d4e0
190,Morgan Gibbs-White,eng ENG,DLCC,Wolves,23-103,2000,2.0,75,95,78.9,1122,345,47,58,81.0,17,21,81.0,7,9,77.8,0,0.1,0.2,-0.1,1,10,1,0,12,Partidos,32f60ed8
191,Morgan Gibbs-White,eng ENG,CCDL,Nott'ham Forest,23-103,2000,30.0,626,1013,61.8,10077,3703,335,446,75.1,191,271,70.5,73,204,35.8,7,7.9,6.0,-0.9,62,69,40,5,129,Partidos,32f60ed8
192,Billy Gilmour,sct SCO,CC,Brighton,21-333,2001,3.8,271,298,90.9,4455,1103,130,140,92.9,115,120,95.8,21,29,72.4,0,0.1,0.6,-0.1,1,23,6,0,30,Partidos,df10e27c
193,Degnand Gnonto,it ITA,DLCC,Leeds United,19-186,2003,14.1,342,477,71.7,4425,1135,216,254,85.0,93,124,75.0,10,20,50.0,4,2.1,2.1,+1.9,20,12,16,4,32,Partidos,75fdd638
194,Ben Godfrey,eng ENG,DF,Everton,25-115,1998,8.9,182,281,64.8,3067,1252,90,111,81.1,73,111,65.8,16,41,39.0,1,0.2,0.1,+0.8,3,24,1,1,19,Partidos,9f7c837d
195,João Gomes,br BRA,CC,Wolves,22-087,2001,5.3,184,242,76.0,2732,638,105,123,85.4,64,87,73.6,9,17,52.9,0,0.2,0.1,-0.2,5,12,0,0,15,Partidos,8b57ad2c
196,Toti Gomes,pt POR,DF,Wolves,24-114,1999,9.0,355,434,81.8,6015,2142,161,191,84.3,165,185,89.2,23,47,48.9,0,0.2,0.2,-0.2,3,21,6,2,21,Partidos,f0caab96
197,Joe Gomez,eng ENG,DF,Liverpool,25-352,1997,15.3,1086,1275,85.2,21777,7062,311,352,88.4,640,697,91.8,118,187,63.1,0,0.2,0.7,-0.2,1,116,4,0,103,Partidos,7a11550b
198,Sergio Gómez,es ESP,DFCC,Manchester City,22-248,2000,1.9,133,153,86.9,1991,557,71,77,92.2,49,54,90.7,7,10,70.0,1,0.4,0.2,+0.6,2,13,2,0,10,Partidos,01e5f06e
199,Anthony Gordon,eng ENG,DLCC,Newcastle Utd,22-075,2001,4.4,144,175,82.3,1959,468,95,105,90.5,39,46,84.8,5,10,50.0,0,0.8,0.8,-0.8,5,11,4,0,14,Partidos,2bd83368
200,Anthony Gordon,eng ENG,DL,Everton,22-075,2001,12.2,193,280,68.9,2905,625,110,135,81.5,66,89,74.2,11,27,40.7,0,0.6,0.5,-0.6,8,8,11,2,19,Partidos,2bd83368
201,Demarai Gray,eng ENG,DLCC,Everton,26-316,1996,26.2,549,795,69.1,9298,2061,272,307,88.6,187,247,75.7,66,168,39.3,1,3.7,3.7,-2.7,35,30,17,6,45,Partidos,4468ec10
202,Jack Grealish,eng ENG,DL,Manchester City,27-242,1995,22.7,898,1067,84.2,13204,2574,537,586,91.6,293,335,87.5,41,66,62.1,7,7.0,6.7,0.0,50,28,48,2,100,Partidos,b0b4fd3e
203,Sam Greenwood,eng ENG,CCDL,Leeds United,21-104,2002,4.1,101,166,60.8,1848,837,52,60,86.7,26,50,52.0,20,50,40.0,2,1.1,1.0,+0.9,13,14,1,0,14,Partidos,f3354c07
204,Pascal Groß,de GER,CCDF,Brighton,31-329,1991,31.2,1661,2089,79.5,26765,7706,868,953,91.1,608,724,84.0,131,287,45.6,6,9.5,8.0,-3.5,71,138,62,12,232,Partidos,8aec0537
205,Vicente Guaita,es ESP,PO,Crystal Palace,36-120,1987,27.0,610,845,72.2,15748,10443,159,161,98.8,258,263,98.1,182,405,44.9,0,0.0,0.0,0.0,0,3,0,0,1,Partidos,ab13a5aa
206,Gonçalo Guedes,pt POR,DLCC,Wolves,26-162,1996,7.9,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,1,0.5,0.5,+0.5,9,11,8,2,16,Partidos,e6bc67d7
207,Marc Guéhi,eng ENG,DF,Crystal Palace,22-301,2000,34.0,1658,1954,84.9,33733,12812,509,557,91.4,956,1029,92.9,184,339,54.3,0,0.3,0.6,-0.3,8,124,2,0,95,Partidos,d0706b27
208,Bruno Guimarães,br BRA,CC,Newcastle Utd,25-175,1997,26.3,1177,1421,82.8,20569,5732,558,629,88.7,447,515,86.8,134,189,70.9,5,3.8,3.3,+1.2,36,125,40,2,184,Partidos,82518f62
209,İlkay Gündoğan,de GER,CC,Manchester City,32-198,1990,24.3,1259,1451,86.8,19645,4592,677,745,90.9,458,508,90.2,89,118,75.4,3,3.0,4.0,0.0,34,136,35,1,164,Partidos,819b3158
210,Darko Gyabi,eng ENG,DL,Leeds United,19-081,2004,0.1,4,4,100.0,72,17,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Partidos,56d838f7
211,Erling Haaland,no NOR,DL,Manchester City,22-293,2000,28.7,341,471,72.4,4180,887,204,256,79.7,98,130,75.4,6,8,75.0,7,4.8,2.9,+2.2,27,14,22,0,57,Partidos,1f44ac21
212,Lewis Hall,eng ENG,DFCC,Chelsea,18-244,2004,3.4,147,195,75.4,2592,748,79,92,85.9,52,68,76.5,16,26,61.5,0,0.3,0.2,-0.3,4,10,3,1,9,Partidos,da011f18
213,Luke Harris,wls WAL,CCDL,Fulham,18-037,2005,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Partidos,8c3078cd
214,Jack Harrison,eng ENG,DLCC,Leeds United,26-171,1996,27.7,672,1064,63.2,9749,3698,405,503,80.5,176,294,59.9,52,148,35.1,7,4.9,4.7,+2.1,50,48,43,16,90,Partidos,aa849a12
215,Kai Havertz,de GER,DLCC,Chelsea,23-333,1999,26.1,643,798,80.6,8163,1582,407,487,83.6,171,193,88.6,19,26,73.1,1,3.4,2.5,-2.4,35,43,23,2,75,Partidos,fed7cb61
216,Jan Paul van Hecke,nl NED,DF,Brighton,22-336,2000,1.0,96,101,95.0,1944,477,21,22,95.5,70,72,97.2,5,6,83.3,0,0.0,0.0,0.0,0,13,0,0,10,Partidos,4fd08daa
217,Hwang Hee-chan,kr KOR,DLCC,Wolves,27-104,1996,10.5,173,229,75.5,2469,533,103,124,83.1,55,68,80.9,8,12,66.7,1,1.0,0.5,0.0,9,8,7,1,23,Partidos,169fd162
218,Dean Henderson,eng ENG,PO,Nott'ham Forest,26-059,1997,18.0,425,671,63.3,12543,8838,80,80,100.0,186,188,98.9,159,400,39.8,0,0.0,0.0,0.0,0,11,1,0,0,Partidos,e5a76dfe
219,Jordan Henderson,eng ENG,CC,Liverpool,32-327,1990,21.1,1232,1487,82.9,20581,5442,613,675,90.8,471,547,86.1,112,179,62.6,2,2.9,3.2,-0.9,27,146,42,10,175,Partidos,935e6b8f
220,Wayne Hennessey,wls WAL,PO,Nott'ham Forest,36-106,1987,2.0,45,56,80.4,1510,1133,3,3,100.0,22,22,100.0,20,31,64.5,0,0.0,0.0,0.0,0,2,0,0,0,Partidos,76eca7e2
221,Rico Henry,eng ENG,DF,Brentford,25-306,1997,33.0,776,1079,71.9,12379,4298,419,490,85.5,272,369,73.7,64,150,42.7,2,2.5,2.6,-0.5,21,67,34,12,98,Partidos,8a3c1dc7
